10,0.155,0.158
20,0.157,0.16
27.6,0.161,0.164
30,0.164,0.168
36.9,0.169,0.174
41.9,0.172,0.177
47.9,0.173,0.183
54,0.174,0.18
59.9,0.175,0.18
65,0.176,0.181
10,0.296,0.299
20,0.308,0.303
27.6,0.315,0.309
30,0.321,0.316
36.9,0.332,0.329
41.9,0.339,0.339
47.9,0.344,0.345
54,0.341,0.347
59.9,0.332,0.349
65,0.333,0.35
10,0.44,0.461
20,0.445,0.465
27.6,0.454,0.475
30,0.463,0.483
36.9,0.481,0.504
41.9,0.495,0.52
47.9,0.503,0.529
54,0.507,0.533
59.9,0.51,0.536
65,0.513,0.537
10,0.606,0.611
20,0.612,0.616
27.6,0.624,0.626
30,0.633,0.636
36.9,0.659,0.663
41.9,0.681,0.685
47.9,0.692,0.698
54,0.698,0.704
59.9,0.703,0.709
65,0.707,0.712
10,0.74,0.761
20,0.75,0.77
27.6,0.765,0.785
30,0.776,0.798
36.9,0.809,0.83
41.9,0.838,0.859
47.9,0.855,0.878
54,0.863,0.886
59.9,0.87,0.893
65,0.877,0.898
10,0.892,0.9
20,0.902,0.913
27.6,0.919,0.929
30,0.934,0.94
36.9,0.976,0.978
41.9,1.011,1.011
47.9,1.034,1.035
54,1.041,1.046
59.9,1.041,1.051
65,1.055,1.054
